Name,FantPts MEDIAN,FantPts SKEW,FantPts +SD,FantPts -SD,FantPts 30 Percentile,Last 5 Games,Rec XS Pts
Davante Adams,12.0,-0.6813953488372082,22.69245407674532,2.6703366209290973,,"[3.6, 39.6, 21.3, 11.600000000000001, 22.3]",7.68
Mike Evans,11.600000000000001,-3.208421052631577,26.149324832499957,3.4675172727631978,5.92,"[16.1, 24.200000000000003, 24.2, 22.4, 12.2]",8.22
Julio Jones,11.05,-1.3531249999999986,19.965151324073744,4.841098675926256,,"[3.2, 2.4000000000000004, 15.700000000000001, 7.800000000000001, 16.6]",-1.91
A.J. Green,11.0,-0.2165217391304335,18.319855901101736,4.113187577159131,,"[0.0, 0.30000000000000004, 3.6, 2.9000000000000004, 5.1000000000000005]",-8.62
Odell Beckham Jr.,10.950000000000001,-1.6512499999999992,20.598108461493773,4.604391538506227,6.88,"[5.700000000000001, 33.4, 5.9, 13.4, 2.2]",1.17
Michael Thomas,10.8,-0.8249999999999993,18.10162463530709,5.148375364692912,7.339999999999999,"[1.7000000000000002, 3.7, 19.6, 18.8, 19.4]",1.84
Cooper Kupp,10.05,0.084090909090909,16.721473315423825,3.210344866394359,4.97,"[6.6000000000000005, 12.7, 16.700000000000003, 10.0, 4.0]",-0.05
Calvin Ridley,10.0,-0.2911764705882369,18.236114544495262,2.346238396681212,4.18,"[13.600000000000001, 0.0, 11.7, 22.9, 24.9]",4.62
Tyreek Hill,9.600000000000001,-2.0999999999999996,19.606617682334413,3.79338231766559,6.73,"[15.3, 12.4, 16.2, 16.8, 10.600000000000001]",4.66
DeAndre Hopkins,9.5,-1.3704347826086956,17.768323779709434,3.9725457855079584,6.62,"[19.1, 4.1000000000000005, 13.700000000000001, 12.8, 15.100000000000001]",3.46
Stefon Diggs,8.9,-0.7146666666666661,16.69313980583884,2.5361935274944916,4.66,"[10.600000000000001, 11.5, 10.9, 21.3, 8.6]",3.68
JuJu Smith-Schuster,8.9,-0.4391304347826086,16.11819881590564,2.5600620536595784,4.550000000000001,"[2.8000000000000003, 10.3, 4.800000000000001, 18.9, 0.6000000000000001]",-1.42
Larry Fitzgerald,8.700000000000001,-0.8976470588235266,15.78474265548164,3.410551462165415,5.5,"[3.5, 0.4, 0.0, 5.0, 3.4000000000000004]",-6.24
Keenan Allen,8.600000000000001,-1.313186813186812,16.410198242233058,3.41617538414057,5.800000000000001,"[8.9, 6.2, 19.200000000000003, 9.600000000000001, 3.7]",0.92
Kenny Golladay,8.2,-1.1772727272727277,15.674997072136518,3.0795483824089356,4.94,"[12.2, 11.7, 7.2, 12.600000000000001, 4.4]",1.42
D.J. Moore,7.9,-0.36666666666666536,13.743318407074694,2.790014926258637,5.15,"[15.3, 4.9, 6.5, 12.0, 5.4]",0.92
Allen Robinson,7.9,-1.554545454545453,16.053499627158626,2.8555912819322806,5.4,"[9.0, 16.1, 18.3, 3.3000000000000003, 7.300000000000001]",2.9
T.Y. Hilton,7.7,-1.7178861788617885,16.80713437727536,2.0286379804482157,4.220000000000001,"[6.9, 2.9000000000000004, 5.2, 2.8000000000000003, 5.300000000000001]",-3.08
Amari Cooper,7.550000000000001,-1.701219512195122,17.51154031280555,0.9908987115846948,3.3900000000000006,"[2.1, 19.4, 8.6, 10.0, 8.1]",2.09
Jarvis Landry,7.4,-1.20990099009901,13.840207003144425,3.3795949770535962,5.300000000000001,"[8.8, 4.800000000000001, 3.6, 4.6000000000000005, 6.1000000000000005]",-1.82
Courtland Sutton,7.2,-0.3696969696969692,12.31591156980757,2.823482369586369,4.38,"[6.6000000000000005, 5.2, 4.1000000000000005, 7.9, 3.4000000000000004]",-1.76
Brandin Cooks,7.1000000000000005,-2.0720430107526875,16.207301505299032,2.136784516206344,4.16,"[22.1, 0.0, 2.3000000000000003, 9.5, 2.0]",0.08
DeSean Jackson,7.050000000000001,-2.144936708860758,16.143334292250792,2.2465391254707265,,"[1.1, 6.4, 4.6000000000000005, 0.5, nan]",
Robert Woods,7.0,-0.6723809523809523,13.40824141425546,1.936520490506445,3.82,"[13.100000000000001, 3.8000000000000003, 16.4, 9.3, 11.9]",3.9
Marvin Jones,6.6000000000000005,-1.5577319587628855,15.1529957590594,1.162468158466372,,"[0.9, 5.1000000000000005, 8.3, 5.5, 3.8000000000000003]",-1.88
DeVante Parker,6.4,-1.7973333333333326,16.47553612388162,-0.08086945721495553,1.8399999999999999,"[17.0, 11.0, 6.9, 17.3, 4.7]",4.98
Chris Godwin,6.3500000000000005,-1.8395833333333327,15.742974556593996,0.6361921100726704,3.8100000000000005,"[12.4, 7.9, 12.100000000000001, 9.1, 5.0]",2.95
Julian Edelman,6.25,-0.8515151515151524,13.229538441493478,0.9734918615368278,,"[3.5, 2.2, 17.900000000000002, 8.0, 2.6]",0.59
Tyler Boyd,6.2,-0.8688524590163933,12.856008956629783,1.2816959614030052,2.7,"[4.2, 9.4, 12.5, 13.2, 3.3000000000000003]",2.32
